web-scraper-order,web-scraper-start-url,single,single-href,title,price,info,rating,instock,asin,bestseller,dimension,img1-src
1669910832-1,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Fridolin 68066 Adressbuch Hokusai - Große Welle,https://www.amazon.de/Fridolin-68066-Adressbuch-Hokusai-Gro%C3%9Fe/dp/B00ALD6A2S/ref=sr_1_258?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-258,Fridolin 68066 Adressbuch Hokusai - Große Welle,"8,66€",Motiv: Katsushika Hokusai - Große Welle,3.5 von 5,,B00ALD6A2S,,‎15 x 12.5 x 2 cm; 99.79 Gramm,
1669910834-2,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Winsor & Newton Universität Pinsel Kit (4 Stück),https://www.amazon.de/Winsor-Newton-Universit%C3%A4t-Pinsel-St%C3%BCck/dp/B071F4WRZS/ref=sr_1_257?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-257,Winsor & Newton Universität Pinsel Kit (4 Stück),"15,72€",Info zu diesem Artikel,4.7 von 5,,B071F4WRZS,,‎28 x 6 x 1.2 cm; 40 Gramm,
1669910837-3,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"10 Stück Kreidetafel-Schild, 33 x 40,6 cm, groß, doppelseitig, Kreidetafel, Foto-Requisite, Schulabschluss, Zurück zur Schule, Zubehör für Kindergarten oder Schulabschluss",https://www.amazon.de/Kreidetafel-Schild-doppelseitig-Foto-Requisite-Schulabschluss-Kindergarten/dp/B0B19X5C5F/ref=sr_1_256?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-256,"10 Stück Kreidetafel-Schild, 33 x 40,6 cm, groß, doppelseitig, Kreidetafel, Foto-Requisite, Schulabschluss, Zurück zur Schule, Zubehör für Kindergarten oder Schulabschluss",,"10 Stück Kreidetafel-Schilder: Die bunte Wimpelkette und Ballon-Thema ist ideal für den Schulanfang und ist auch eine ausgezeichnete Schuldekoration, die sich lohnt, an den ersten Tag der Vorschule, Kindergarten, 1. 12. Klasse und Universität zu denken.",3.9 von 5,,B0B19X5C5F,,,
1669910840-4,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Sharpie Fluo XL Textmarker | Keilspitze | gemischte fluoreszierende Farben | 4 Stück,https://www.amazon.de/Sharpie-Textmarker-Keilspitze-Verschiedene-farblich/dp/B00BWK90DK/ref=sr_1_255?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-255,Sharpie Fluo XL Textmarker | Keilspitze | gemischte fluoreszierende Farben | 4 Stück,"10,40€",Info zu diesem Artikel,4.6 von 5,Nur noch 14 auf Lager,B00BWK90DK,"Nr. 66,297 in Bürobedarf & Schreibwaren (Siehe Top 100 in Bürobedarf & Schreibwaren) 
  Nr. 409 in Textmarker",‎15 x 19.4 x 2.2 cm; 90 Gramm,
1669910843-5,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Original bunte Lesezeichen | Schöne Haftnotizen in verschiedenen Größen | Posit Trennzeichen und Marker für Schulmaterial | Große und kleine Posits post it für Bücher Schreibwaren,https://www.amazon.de/Lesezeichen-verschiedenen-Trennzeichen-Schulmaterial-Schreibwaren/dp/B0B7TFN96Z/ref=sr_1_254?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-254,Original bunte Lesezeichen | Schöne Haftnotizen in verschiedenen Größen | Posit Trennzeichen und Marker für Schulmaterial | Große und kleine Posits post it für Bücher Schreibwaren,"16,00€",Info zu diesem Artikel,3.9 von 5,Auf Lager.,B0B7TFN96Z,,,
1669910845-6,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Home Advantage Blanko-Visitenkarten, Mini-Index-Wortkarten, 100 Stück",https://www.amazon.de/Home-Advantage-Blanko-Visitenkarten-Mini-Index-Wortkarten-St%C3%BCck/dp/B085X2YV58/ref=sr_1_253?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-253,"Home Advantage Blanko-Visitenkarten, Mini-Index-Wortkarten, 100 Stück",,Info zu diesem Artikel,4.6 von 5,,B085X2YV58,,,
1669910848-7,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Home Advantage 50 Stück Karteikarten 3x5 blanko weiß Postkarten,https://www.amazon.de/Home-Advantage-Karteikarten-blanko-wei%C3%9F/dp/B07GSDZJ3S/ref=sr_1_252?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-252,Home Advantage 50 Stück Karteikarten 3x5 blanko weiß Postkarten,,Info zu diesem Artikel,4.7 von 5,,B07GSDZJ3S,,,
1669910851-8,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,DNA-Modell für den naturwissenschaftlichen Schule Universität Lehrmaterialien Unterricht liefert PVC-Doppelhelix-DNA-Modell Biological Molecular[DNA Model ],https://www.amazon.de/DNA-Modell-naturwissenschaftlichen-Unterricht-PVC-Doppelhelix-DNA-Modell-Biological/dp/B08GSR7DTL/ref=sr_1_251?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-251,DNA-Modell für den naturwissenschaftlichen Schule Universität Lehrmaterialien Unterricht liefert PVC-Doppelhelix-DNA-Modell Biological Molecular[DNA Model ],,Info zu diesem Artikel,5.0 von 5,,B08GSR7DTL,,,
1669910854-9,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Speedball Unterglasur, Avocado, 473 ml",https://www.amazon.de/Speedball-Unterglasur-Avocado-473-ml/dp/B08JQNJL52/ref=sr_1_250?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-250,"Speedball Unterglasur, Avocado, 473 ml",,Konsistente Ergebnisse – Undurchsichtige Farben bewegen sich nicht und verlaufen nicht. Für beste Ergebnisse 2–3 großzügige Schichten auftragen,5.0 von 5,,B08JQNJL52,"Nr. 1,504,301 in Küche, Haushalt & Wohnen (Siehe Top 100 in Küche, Haushalt & Wohnen) 
  Nr. 514 in Keramikglasuren 
  Nr. 6,334 in Malfarben",,
1669910856-10,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Stencil Stop Schablonen-Set für griechische Buchstaben, zum Malen und Nachzeichnen, alle Buchstaben – 14 mm Mylar-Kunststoff [10,2 cm hohe Buchstaben]",https://www.amazon.de/Schablonen-Set-griechische-Buchstaben-Malen-Zeichnen/dp/B07RSWJYWB/ref=sr_1_249?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-249,"Stencil Stop Schablonen-Set für griechische Buchstaben, zum Malen und Nachzeichnen, alle Buchstaben – 14 mm Mylar-Kunststoff [10,2 cm hohe Buchstaben]",,"Endlose Projekt-Optionen: Schablonen sind ideal auf flachen und gebogenen Medien und funktionieren mit Tonnen von Oberflächen wie Beton, Holz, Haut, Kunststoff, Gras, Wänden, Metall, Leinwand, Glas, Stoff und mehr",4.7 von 5,,B07RSWJYWB,,,
1669910859-11,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Kores - Koloritos: Einfacher Stift Spizter mit Auffangbehälter für Kinder, Studenten und Erwachsene, Buntstiftdesign, Schul- und Bürozubehör, 20 Stück Packung in sortierten Farben",https://www.amazon.de/Kores-Anspitzer-Dosenanspitzer-Kolorito-einfach/dp/B00JTMVM1Q/ref=sr_1_248?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-248,"Kores - Koloritos: Einfacher Stift Spizter mit Auffangbehälter für Kinder, Studenten und Erwachsene, Buntstiftdesign, Schul- und Bürozubehör, 20 Stück Packung in sortierten Farben","19,13€",Info zu diesem Artikel,5.0 von 5,,B00JTMVM1Q,"Nr. 315,695 in Bürobedarf & Schreibwaren (Siehe Top 100 in Bürobedarf & Schreibwaren) 
  Nr. 1,490 in Anspitzer",‎20.5 x 7.6 x 4.5 cm; 199.58 Gramm,
1669910862-12,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Idena 23911 - Stiftetui mit 4 Fächern, Reißverschluss und Klettklappe, sortiert, ca. 22,5 x 11 x 9 cm, Schreibtisch-Organizer für Schreibwaren, Zeichen- und Büromaterialien",https://www.amazon.de/Idena-Faulenzer-Rei%C3%9Fverschluss-leer-Federm%C3%A4ppchen-Rot/dp/B01EROM1WY/ref=sr_1_247?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-247,"Idena 23911 - Stiftetui mit 4 Fächern, Reißverschluss und Klettklappe, sortiert, ca. 22,5 x 11 x 9 cm, Schreibtisch-Organizer für Schreibwaren, Zeichen- und Büromaterialien","11,92€",Info zu diesem Artikel,5.0 von 5,,B01EROM1WY,,,
1669910864-13,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Gusti Stiftetasche Leder - Albert Federtasche Mäppchen Braun Leder,https://www.amazon.de/Gusti-Federtasche-Schlamperrolle-Griffelmappe-2S12-26-5/dp/B00XYFO3A6/ref=sr_1_246?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-246,Gusti Stiftetasche Leder - Albert Federtasche Mäppchen Braun Leder,,Info zu diesem Artikel,4.6 von 5,,,,,
1669910867-14,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"russell+hazel Drafters Tablet-Notizblock, Noire, Bürobedarf, 16,2 x 22,5 cm, 100 Blatt, Weiß (40441)",https://www.amazon.de/RUSSELL-Drafters-40441-Tablet-Notizblock/dp/B07YDXNZWR/ref=sr_1_245?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-245,"russell+hazel Drafters Tablet-Notizblock, Noire, Bürobedarf, 16,2 x 22,5 cm, 100 Blatt, Weiß (40441)","26,08€",Info zu diesem Artikel,4.4 von 5,,B07YDXNZWR,,,
1669910871-15,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=11&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Correct 4 Teile Schulranzen Set Schulrucksack Rucksack Mädchen Kawaii Schultaschen Set Rucksack Set Mädchen Teenager Freizeitrucksack+ Handtasche+Stifttasche+Schultertasche Schulbedarf (Violett),https://www.amazon.de/Correct-Schulrucksack-Schultaschen-Freizeitrucksack-Schultertasche/dp/B09FSWPKS6/ref=sr_1_244?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910826&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-244,Correct 4 Teile Schulranzen Set Schulrucksack Rucksack Mädchen Kawaii Schultaschen Set Rucksack Set Mädchen Teenager Freizeitrucksack+ Handtasche+Stifttasche+Schultertasche Schulbedarf (Violett),,,5.0 von 5,,,,,https://m.media-amazon.com/images/I/71ohDtBydoL._AC_UL1500_.jpg
1669910876-16,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Walker 49257-051 - Federmappe mit Innenklappe, 20 Stiftschlaufen, Reißverschluss, Concept Darkred Melange, ca. 21 x 10 x 6 cm, Schreibtisch-Organizer für Schreibwaren, Zeichen- und Büromaterialien",https://www.amazon.de/Schneiders-49257-051-Sch%C3%BCleretui-Concept-dunkelrot/dp/B079TDRLJQ/ref=sr_1_246?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-246,"Walker 49257-051 - Federmappe mit Innenklappe, 20 Stiftschlaufen, Reißverschluss, Concept Darkred Melange, ca. 21 x 10 x 6 cm, Schreibtisch-Organizer für Schreibwaren, Zeichen- und Büromaterialien","22,40€",Info zu diesem Artikel,5.0 von 5,,B079TDRLJQ,"Nr. 680,093 in Spielzeug (Siehe Top 100 in Spielzeug) 
  Nr. 3,221 in Federmäppchen (Spielzeug) 
  Nr. 50,440 in Schreibtischzubehör & Ablage",,
1669910879-17,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Paperchase A4-Notizbuch, Notizblock, Tagebuch, Schreibwarenbedarf",https://www.amazon.de/Paperchase-A4-Notizbuch/dp/B0999MS7NT/ref=sr_1_245?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-245,Wie bewerten Sie heute Ihre Erfahrung beim Kauf von Büchern auf Amazon?,,,5.0 von 5,Nur noch 15 auf Lager,,,,
1669910883-18,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Befülltes Federmäppchen inklusive 20 Teilen für Jungen und Mädchen, Federtasche mit Reißverschluss, Stiften, Radiergummi und Linealen, Federtasche für Schule und Universität in beige",https://www.amazon.de/Federtaschen-Federm%C3%A4ppchen-Radiergummi-Winkelmesser-Aufbewahrung/dp/B08LTP2TTD/ref=sr_1_244?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-244,"Befülltes Federmäppchen inklusive 20 Teilen für Jungen und Mädchen, Federtasche mit Reißverschluss, Stiften, Radiergummi und Linealen, Federtasche für Schule und Universität in beige","10,99€",Info zu diesem Artikel,4.5 von 5,Nur noch 10 auf Lager,B08LTP2TTD,"Nr. 189,108 in Bürobedarf & Schreibwaren (Siehe Top 100 in Bürobedarf & Schreibwaren) 
  Nr. 3,997 in Federmäppchen (Bürobedarf & Schreibwaren)",,
1669910886-19,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Gossip Boy Federmappe mit Vintage-Knopf-Design, Leder, handgefertigt, für Füllfederhalter, weiche Schutzhülle, Braun",https://www.amazon.de/gossipboy-handgefertigt-F%C3%BCllfederhalter-Bleistift-Craving/dp/B06XDQPYPG/ref=sr_1_240?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-240,"Gossip Boy Federmappe mit Vintage-Knopf-Design, Leder, handgefertigt, für Füllfederhalter, weiche Schutzhülle, Braun",,Info zu diesem Artikel,4.6 von 5,,,,,
1669910888-20,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Gusti Federtasche Leder - Lennard Federmappe Stiftemappe Stifteetui Schlampermäppchen Vintage Braun Leder,https://www.amazon.de/Gusti-Federtasche-Schlamperrolle-Griffelmappe-2S5-22-5/dp/B00WGF9ZZ8/ref=sr_1_239?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-239,Gusti Federtasche Leder - Lennard Federmappe Stiftemappe Stifteetui Schlampermäppchen Vintage Braun Leder,,Info zu diesem Artikel,4.7 von 5,,,,,
1669910891-21,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Inntek A4 Skizzenbuch, Zeichenpapier - Hardcover - 60 Blatt mit 160 g/m² - A4 Hochformat",https://www.amazon.de/Inntek-Skizzenbuch-Zeichenpapier-Hardcover-Hochformat/dp/B08G84GBV4/ref=sr_1_238?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-238,"Inntek A4 Skizzenbuch, Zeichenpapier - Hardcover - 60 Blatt mit 160 g/m² - A4 Hochformat","12,60€","🗒 Das hochwertige Papier hat eine ausreichende Oberflächenstruktur um weiche Medien zu halten, es eignet sich allerdings auch für feine Grafikarbeiten, was es ideal für alle Trockentechniken macht.",4.6 von 5,,‎B08G84GBV4,"Nr. 865,987 in Küche, Haushalt & Wohnen (Siehe Top 100 in Küche, Haushalt & Wohnen) 
  Nr. 725 in Zeichenblöcke & Zeichenbücher",,
1669910894-22,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Walker 49606-074 - Federmappe mit Innenklappe und Reißverschluss, Hippie Violet, ca. 21 x 10 x 6 cm, Schreibtisch-Organizer für Schreibwaren, Zeichen- und Büromaterialien",https://www.amazon.de/Walker-49606-074-Rei%C3%9Fverschluss-Schreibtisch-Organizer-B%C3%BCromaterialien/dp/B08R3RSH4J/ref=sr_1_237?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-237,"Walker 49606-074 - Federmappe mit Innenklappe und Reißverschluss, Hippie Violet, ca. 21 x 10 x 6 cm, Schreibtisch-Organizer für Schreibwaren, Zeichen- und Büromaterialien","16,76€",Info zu diesem Artikel,3.0 von 5,,B08R3RSH4J,"Nr. 337,113 in Bürobedarf & Schreibwaren (Siehe Top 100 in Bürobedarf & Schreibwaren) 
  Nr. 4,776 in Stiftköcher",,
1669910897-23,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Federmäppchen Große Kapazität Mäppchen, große Tasche für Studenten an der Uni Chinesische Tasche für Schreibtischarbeit（Gitter weiß）",https://www.amazon.de/Federm%C3%A4ppchen-Kapazit%C3%A4t-Studenten-Chinesische-Schreibtischarbeit%EF%BC%88Gitter/dp/B08GLYK5PM/ref=sr_1_236?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-236,"Federmäppchen Große Kapazität Mäppchen, große Tasche für Studenten an der Uni Chinesische Tasche für Schreibtischarbeit（Gitter weiß）","15,10€",Info zu diesem Artikel,4.3 von 5,,B08GLYK5PM,"Nr. 133,875 in Bürobedarf & Schreibwaren (Siehe Top 100 in Bürobedarf & Schreibwaren) 
  Nr. 2,656 in Federmäppchen (Bürobedarf & Schreibwaren)",,
1669910900-24,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Idena 23910 - Stiftetui mit 2 Fächern, Reißverschluss und Klettklappe, sortiert, ca. 22 x 13 x 5,5 cm, Schreibtisch-Organizer für Schreibwaren, Zeichen- und Büromaterialien",https://www.amazon.de/Idena-Faulenzer-m-Klappe-Farben/dp/B01ITCVB7Q/ref=sr_1_235?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-235,"Idena 23910 - Stiftetui mit 2 Fächern, Reißverschluss und Klettklappe, sortiert, ca. 22 x 13 x 5,5 cm, Schreibtisch-Organizer für Schreibwaren, Zeichen- und Büromaterialien","8,02€",Info zu diesem Artikel,3.0 von 5,,B01ITCVB7Q,"Nr. 318,411 in Bürobedarf & Schreibwaren (Siehe Top 100 in Bürobedarf & Schreibwaren) 
  Nr. 4,477 in Stiftköcher",,
1669910903-25,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,Black 'n Red Spiralbuch 90 g/m² liniert und perforiert 140 Seiten A5 5 Stück,https://www.amazon.de/Black-Red-Spiralbuch-liniert-perforiert/dp/B06XSNGL97/ref=sr_1_234?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-234,Black 'n Red Spiralbuch 90 g/m² liniert und perforiert 140 Seiten A5 5 Stück,,Info zu diesem Artikel,4.6 von 5,,B06XSNGL97,"Nr. 248,290 in Bürobedarf & Schreibwaren (Siehe Top 100 in Bürobedarf & Schreibwaren) 
  Nr. 1,656 in Ringblöcke",‎22.2 x 16 x 5.5 cm; 1.51 Kilogramm,
1669910906-26,https://www.amazon.de/s?k=university+supplies&i=office-products&rh=n%3A192416031%2Cp_72%3A193522031&dc&page=10&__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&qid=1669909752&rnid=193520031&ref=sr_pg_2,"Schulkasten StarPLAST - Grünes Federmäppchen, Schulmaterial, Set oder Set für die Schule oder Universität, grün",https://www.amazon.de/Schulkasten-StarPLAST-Federm%C3%A4ppchen-Schulmaterial-Universit%C3%A4t/dp/B0B93Y37BY/ref=sr_1_233?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=university+supplies&qid=1669910870&refinements=p_72%3A193522031&rnid=193520031&s=officeproduct&sr=1-233,"Schulkasten StarPLAST - Grünes Federmäppchen, Schulmaterial, Set oder Set für die Schule oder Universität, grün","22,37€","Schul- oder Universalpack: In diesen Packungen finden Sie 3 Stifte in der gleichen Farbe wie der Körper, inklusive 1 Druckbleistift, dieser Druckbleistift enthält 20 HB-Minen mit 0,5 mm. Darüber hinaus haben wir in unserem Set 1 Korrekturband, 1 gelber Fluormarker, 1 Messerschärfer mit Tank (Spitzer und Radiergummi), 1 flexibles Lineal 20 cm, 1 Zirkel mit Ersatzminen und Stiftadapter und zuletzt 2 elegante schwarze HB Körperstifte für Ihren Schuljahr.",5.0 von 5,Nur noch 2 auf Lager,B0B93Y37BY,,,
